Zählrohrwinkel	Rate bei 35kV mit 
2*theta/°	R(35kV)/Imp/s

39,0	134,0
39,2	142,0
39,4	133,0
39,5	146,0
39,8	147,0
40,0	171,0
40,2	272,0
40,4	709,0
40,5	1150,0
40,8	1520,0
41,0	1498,0
41,2	1178,0
41,4	407,0
41,5	253,0
41,8	219,0
42,0	193,0
42,2	187,0
42,4	170,0
42,6	179,0
42,8	178,0
43,0	159,0
43,2	164,0
43,4	193,0
43,6	176,0
43,8	184,0
44,0	189,0
44,2	209,0
44,4	283,0
44,5	395,0
44,8	1686,0
45,0	4052,0
45,2	5006,0
45,4	5283,0
45,5	5049,0
45,8	3117,0
46,0	665,0
46,2	244,0
46,4	199,0
46,5	168,0
46,8	154,0
47,0	137,0
