Zählrohrwinkel	Rate bei 35kV mit 
2*theta/°	R(35kV)/Imp/s

8,0	25,0
8,4	33,0
8,8	29,0
9,2	30,0
9,6	36,0
10,0	41,0
10,4	33,0
10,8	40,0
11,2	40,0
11,6	42,0
12,0	41,0
12,4	44,0
12,8	40,0
13,2	42,0
13,6	48,0
14,0	47,0
14,4	50,0
14,8	55,0
15,2	62,0
15,6	60,0
16,0	64,0
16,4	71,0
16,7	82,0
17,2	81,0
17,6	86,0
18,0	93,0
18,4	95,0
18,8	94,0
19,2	94,0
19,6	106,0
20,0	105,0
20,4	118,0
20,8	123,0
21,2	128,0
21,6	139,0
22,0	139,0
22,4	150,0
22,8	157,0
23,2	158,0
23,6	155,0
24,0	163,0
24,4	166,0
24,8	174,0
25,2	172,0
25,6	186,0
26,0	187,0
26,4	194,0
26,8	176,0
27,2	152,0
27,6	157,0
28,0	151,0
28,4	148,0
28,8	157,0
29,2	146,0
29,6	153,0
30,0	167,0
30,4	163,0
30,8	162,0
31,2	161,0
31,6	157,0
32,0	162,0
32,4	158,0
32,8	153,0
33,2	157,0
33,6	151,0
34,0	157,0
34,4	149,0
34,8	158,0
35,2	153,0
35,5	155,0
36,0	149,0
36,4	138,0
36,8	145,0
37,2	125,0
37,5	145,0
38,0	137,0
38,4	146,0
38,8	152,0
39,2	144,0
39,5	145,0
40,0	165,0
40,4	702,0
40,8	1544,0
41,2	1229,0
41,5	252,0
42,0	199,0
42,4	181,0
42,8	174,0
43,2	173,0
43,6	172,0
44,0	191,0
44,4	274,0
44,8	1554,0
45,2	4964,0
45,5	5129,0
46,0	706,0
46,4	193,0
46,8	149,0
47,2	135,0
47,6	125,0
48,0	112,0
48,4	118,0
48,8	106,0
49,2	107,0
49,6	96,0
50,0	98,0
50,4	93,0
50,8	88,0
51,2	93,0
51,6	82,0
52,0	76,0
